id;class test 1;class test 2;exam
542821;86,3;48,0;60,0
624508;100,0;36,0;55,0
656409;40,5;27,0;59,0
536609;100,0;15,0;66,0
590622;74,0;6,0;21,0
692015;92,1;36,0;54,0
560763;100,0;28,0;48,0
548557;100,0;37,0;72,0
511945;25,1;0,0;13,0
511170;51,9;23,0;24,0
663699;100,0;0,0;66,0
579187;100,0;50,0;60,0
625617;45,4;14,0;40,0
656482;36,0;30,0;49,0
567817;100,0;47,0;50,0
651443;100,0;45,0;59,0
636478;100,0;16,0;52,0
505856;70,7;36,0;58,0
646684;63,0;35,0;48,0
606284;100,0;22,0;61,0
526304;72,5;12,0;54,0
689779;62,3;41,0;62,0
544182;100,0;29,0;63,0
543796;100,0;24,0;59,0
688511;88,0;25,0;52,0
579556;100,0;43,0;55,0
528984;47,5;23,0;33,0
613038;53,8;8,0;17,0
532623;62,5;22,0;57,0
533059;39,3;7,0;39,0
541557;100,0;35,0;43,0
583059;100,0;39,0;70,0
517865;100,0;28,0;52,0
594317;74,5;26,0;37,0
664582;58,3;22,0;21,0
670968;40,3;9,0;31,0
596813;37,1;4,0;18,0
673360;76,5;42,0;45,0
529620;36,0;11,0;43,0
538834;50,5;31,0;51,0
622116;100,0;25,0;52,0
531378;43,9;6,0;27,0
694641;60,2;41,0;48,0
657949;87,3;29,0;72,0
590683;93,2;36,0;47,0
587123;83,8;7,0;47,0
517522;65,5;24,0;39,0
686345;0,0;0,0;12,0
555727;100,0;24,0;61,0
528701;47,1;23,0;51,0
643620;100,0;29,0;59,0
666389;42,1;6,0;57,0
694741;16,9;17,0;54,0
612035;28,5;0,0;16,0
686721;68,8;27,0;36,0
648246;41,3;20,0;25,0
525376;79,1;21,0;46,0
671522;73,3;25,0;31,0
510648;75,0;33,0;65,0
672892;88,9;26,0;50,0
657138;85,1;25,0;31,0
640475;77,5;19,0;56,0
564943;86,8;31,0;65,0
679620;84,8;12,0;61,0
628103;70,7;38,0;67,0
665997;0,0;0,0;6,0
575263;54,3;33,0;64,0
504330;93,0;36,0;54,0
578356;35,4;11,0;55,0
601938;35,1;1,0;15,0
576969;97,9;21,0;60,0
604861;90,4;28,0;41,0
509397;88,9;37,0;47,0
658397;60,3;11,0;22,0
675877;64,5;32,0;59,0
618585;44,8;0,0;26,0
519362;57,9;22,0;34,0
696219;54,2;33,0;58,0
632984;42,9;33,0;29,0
626045;55,5;0,0;32,0
563082;45,1;18,0;52,0
674096;67,6;11,0;51,0
670656;47,0;11,0;61,0
632002;33,9;29,0;56,0
514038;100,0;35,0;56,0
519695;59,4;25,0;57,0
533274;39,9;8,0;39,0
651312;55,6;26,0;47,0
578509;68,3;46,0;56,0
554625;100,0;35,0;67,0
581445;54,1;0,0;0,0
665689;70,9;13,0;20,0
535309;65,0;13,0;33,0
635970;52,9;11,0;35,0
647616;71,9;35,0;64,0
600153;95,5;29,0;47,0
549968;46,6;5,0;14,0
672256;79,3;11,0;54,0
500594;100,0;45,0;76,0
602060;93,9;18,0;33,0
671612;100,0;33,0;54,0
642273;63,1;11,0;22,0
622411;100,0;35,0;73,0
544740;36,4;9,0;25,0
591758;86,0;47,0;90,0
610149;100,0;39,0;69,0
605595;52,7;21,0;53,0
617466;0,0;0,0;28,0
673628;100,0;33,0;72,0
658748;100,0;10,0;39,0
648323;56,0;11,0;27,0
681156;56,6;30,0;53,0
548710;59,4;31,0;43,0
677566;70,3;29,0;40,0
580243;59,7;7,0;31,0
689544;100,0;46,0;88,0
568258;100,0;15,0;42,0
680520;64,2;9,0;43,0
610983;57,7;18,0;43,0
583740;99,5;7,0;32,0
603889;100,0;50,0;67,0
560705;100,0;39,0;60,0
517477;95,2;47,0;64,0
664555;0,0;0,0;22,0
601241;100,0;33,0;63,0
680571;59,3;8,0;36,0
502310;96,3;45,0;80,0
607975;84,3;14,0;30,0
