id,class test 1,class test 2,exam
,79,70,75
,86,57,60
,72,94,67
,90,95,77
,95,36,75
,0,0,0
,95,99,86
,85,72,61
,55,54,67
,79,41,62
,92,82,69
,71,57,64
,100,99,82
,100,66,58
,78,83,82
,85,74,62
,100,98,82
,54,75,47
,95,74,76
,95,89,78
,93,77,52
,0,0,0
,58,39,44
,66,44,60
,69,0,44
,73,87,66
,82,76,48
,61,65,60
,29,37,47
,68,54,46
,88,79,69
,59,49,50
,97,83,72
,56,48,44
,95,80,49
,93,88,59
,97,54,47
,68,68,59
,90,86,63
,73,62,47
,70,64,50
,57,30,40
,56,30,41
,100,84,68
,20,41,32
,56,40,36
,75,45,72
,0,0,0
,86,82,79
,30,26,17
,95,48,48
,31,0,0
,95,67,44
,100,81,62
,55,46,56
,79,89,64
,0,58,42
,79,37,62
,72,47,74
,92,87,67
,89,89,70
,97,88,74
,87,67,46
,56,66,42
,78,53,70
,91,62,53
,53,52,53
,86,49,63
,56,0,47
,72,72,53
,57,0,0
,71,57,43
,35,40,42
,85,59,54
,84,81,51
,60,47,48
,65,39,39
,93,99,86
,82,60,59
,65,66,61
,54,63,73
,85,95,72
,77,78,73
,56,73,56
,60,72,52
,87,60,58
,65,34,71
,92,0,70
,55,45,48
,71,10,10
,55,63,39
,98,39,69
,95,73,72
,44,0,0
,67,34,55
,59,41,56
,84,82,50
,55,58,58
,74,37,41
,38,0,0
,78,60,48
,97,49,61
,95,73,53
,32,66,43
,50,32,40
,90,72,64
,90,66,70
,95,52,48
,87,72,62
,74,91,70
,0,0,0
,74,79,61
,66,84,68
,88,55,65
,21,33,35
,91,76,61
,91,71,53
,100,70,67
,96,64,50
,76,61,55
,26,39,44
,79,76,52
,67,50,51
,0,0,19
,66,54,66
,90,30,44
,93,91,60
,92,86,71
,71,46,55
,68,81,57
,96,73,66
,64,43,60
,77,54,49
,90,41,68
,38,59,49
,60,58,66
,83,48,70
,76,29,60
,87,87,33
,85,70,69
,41,0,39
,63,74,49
,68,56,64
,64,69,80
,90,90,81
,0,0,0
,92,42,54
,45,40,51
,87,48,56
,82,78,81
,74,64,46
,84,76,69
,78,28,50
,29,36,36
,92,70,75
,59,82,47
,55,54,37
,0,0,0
,62,78,60
,80,39,64
,70,57,57
,62,37,37
,49,44,37
,95,44,53
,73,86,69
,78,80,62
,85,65,55
,85,63,63
,14,32,31
,66,77,53
,71,70,60
,56,40,54
,77,63,71
,92,82,80
,55,62,47
,71,74,50
,76,76,79
,92,41,56
,98,49,12
,95,92,55
,78,45,79
,55,75,55
,47,62,49
,51,80,66
,92,52,52
,100,74,63
,90,55,55
,60,51,75
,61,55,50
,62,72,45
,91,84,73
,54,67,54
,87,68,49
,55,44,76
,70,73,52
,32,36,14
,23,0,23
,100,78,63
,97,76,79
,91,81,59
,78,58,55
,90,79,72
,69,70,70
,28,0,0
,49,32,45
,75,49,69
,72,45,51
,96,80,53
,22,26,33
,40,0,31
,76,70,66
,97,74,45
,78,72,73
,69,57,46
,87,84,67
,77,47,59
,100,89,76
,94,78,61
,32,21,32
,52,48,62
,59,69,31
,21,53,74
,64,71,43
,55,50,62
,98,58,58
,70,49,56
,62,39,43
,68,79,44
,79,59,36
,0,0,0
,97,86,64
,91,98,67
,56,88,58
,82,38,38
,92,92,50
,49,33,42
,40,39,49
,80,45,55
,78,84,59
,90,45,40
,32,66,38
,0,48,28
,59,65,55
,13,0,0
,82,77,55
,97,78,76
,59,54,55
,98,90,77
,100,97,82
,89,67,67
,100,73,74
,84,69,69
,100,95,86
,93,99,78
,69,54,48
,58,46,39
,84,38,55
,79,55,62
,92,94,58
,61,67,67
,65,76,61
,74,75,52
,77,65,58
,68,57,62
,0,70,41
,58,56,46
,70,65,31
,91,75,60
,100,75,69
,70,39,40
,100,84,61
,80,89,77
,90,98,74
,32,32,27
,57,29,52
,48,31,29
,57,49,45
,79,68,51
,90,63,60
,97,85,72
,58,51,71
,80,69,50
,67,47,43
,51,0,0
,84,58,64
,78,72,55
,97,94,64
,62,36,36
,69,32,45
,87,86,52
,43,88,39
,96,89,59
,0,73,65
,79,64,45
,21,28,35
,87,84,70
,97,53,59
,46,78,63
,43,41,34
,81,65,56
,44,72,49
,88,73,44
,0,0,0
,95,87,73
,85,51,67
,29,46,25
,0,0,0
,87,84,72
,100,68,67
,0,0,0
,69,78,78
,92,73,76
,86,49,63
,92,73,77
,20,0,0
,51,79,67
,93,0,0
,85,74,63
,100,83,74
,85,53,54
,95,95,80
,58,61,46
,68,72,64
,85,48,75
,73,66,60
,96,99,69
,98,81,63
,97,85,67
,0,0,0
