id,class test 1,class test 2,lab test,exam
702696,12.8,13.5,8.6,46.5
764138,10.5,14.0,10.0,60.0
757100,13.5,10.5,8.2,43.0
831851,13.5,11.5,7.8,44.5
851935,12.8,7.5,5.9,31.0
718548,12.0,9.5,8.5,57.0
739390,15.0,14.0,10.0,60.0
742159,14.3,13.0,8.2,60.0
742760,11.3,8.0,6.2,51.0
898978,11.3,0.0,0.0,0.0
872966,12.0,12.0,9.3,46.0
815581,11.3,5.5,6.0,35.0
739479,10.5,5.5,6.0,36.0
721373,9.8,6.0,6.0,25.0
809398,12.0,9.5,6.8,55.5
839515,14.3,13.5,10.0,60.0
752097,13.5,9.5,6.0,39.5
817477,9.8,8.0,5.9,39.5
758519,8.3,4.5,5.3,34.0
872474,7.5,6.5,5.3,33.0
876064,12.0,11.0,8.3,54.0
818368,12.8,12.0,8.9,55.0
799164,14.3,15.0,10.0,55.0
702998,5.3,6.0,5.0,29.0
803277,15.0,14.0,9.9,60.0
779539,6.8,7.0,6.3,34.0
877147,6.0,5.5,5.5,30.5
782734,7.5,5.5,6.0,36.0
766220,8.3,5.5,7.0,31.5
754312,13.5,8.5,6.7,47.0
815253,14.3,11.0,8.6,41.0
891460,6.8,5.5,5.5,23.0
852306,7.5,6.5,5.7,35.5
858618,13.5,9.0,8.0,54.0
739591,12.0,10.0,8.3,51.0
866211,14.3,13.0,10.0,58.0
763363,8.3,6.0,5.0,35.5
802449,10.5,10.0,6.3,48.5
856563,12.8,4.0,6.0,34.5
718921,9.0,5.0,6.0,44.0
877217,6.8,5.5,5.3,32.0
711724,10.5,6.5,7.2,43.5
827890,6.0,6.0,6.0,37.5
876762,12.8,10.0,7.6,52.0
789162,7.5,5.5,5.0,30.5
896456,6.8,5.5,5.9,41.5
819370,4.5,5.0,5.0,19.0
873397,5.3,5.5,5.5,34.5
775975,9.0,6.0,6.6,36.0
847162,9.8,7.0,6.6,25.5
896104,14.3,12.5,9.7,57.5
769741,12.0,2.0,5.3,39.0
768884,11.3,5.5,5.0,21.0
713390,6.8,6.0,5.8,36.0
745091,3.0,5.5,6.0,40.5
771512,9.0,7.5,6.3,34.0
820362,6.8,7.5,6.0,36.0
847322,8.3,6.5,6.4,38.5
847178,14.3,11.5,8.2,60.0
767380,10.5,0.0,0.0,31.0
861249,9.0,8.5,7.3,40.5
777698,5.3,10.5,5.8,43.0
887171,12.8,11.5,8.2,54.0
878710,13.5,8.0,6.8,42.5
761685,6.8,8.5,5.9,41.5
834609,9.0,7.0,6.3,32.0
739134,9.0,6.5,7.4,47.5
735374,12.0,8.5,7.7,60.0
843550,12.8,9.0,6.3,41.5
848486,10.5,6.0,0.0,31.5
826065,3.0,4.5,5.5,29.0
753626,13.5,9.0,7.5,48.5
781430,11.3,10.5,8.0,59.5
705635,9.8,7.0,5.3,33.5
722183,8.3,8.5,5.7,37.0
750525,7.5,5.0,0.0,24.5
767476,9.0,8.0,5.5,31.5
836111,9.0,5.0,5.9,32.0
710148,5.3,6.0,0.0,34.0
857827,5.3,6.5,5.5,26.5
703338,6.8,7.0,6.2,35.5
884028,8.3,4.0,5.3,31.0
810220,8.3,5.5,6.0,36.5
704005,13.5,10.5,7.7,49.5
801900,9.0,7.5,6.0,43.0
787171,9.8,6.5,5.5,41.5
884625,13.5,9.0,7.2,42.5
806711,11.3,0.0,7.2,0.0
860832,5.3,4.0,5.3,24.0
894726,4.5,7.0,6.2,33.0
738238,13.5,9.5,9.0,52.5
855371,5.3,7.0,6.1,39.5
729203,11.3,8.0,7.0,40.5
864261,12.8,12.5,9.2,43.5
741993,6.8,0.0,5.8,24.5
885380,6.8,6.0,5.5,26.0
850502,10.5,8.5,8.8,40.5
889042,9.8,7.5,6.7,32.5
853325,6.8,6.5,6.0,38.5
773366,7.5,0.0,0.0,0.0
821586,0.0,0.0,0.0,22.5
859457,8.3,0.0,0.0,27.0
751589,7.5,7.5,6.3,44.5
733426,9.0,9.0,8.7,52.0
820768,12.8,13.5,10.0,60.0
880592,12.8,9.5,0.0,50.0
800981,14.3,12.5,7.7,60.0
820006,13.5,11.5,0.0,42.0
878485,9.0,6.0,6.0,35.5
848255,12.0,10.0,7.3,41.5
701070,12.0,11.5,7.8,49.0
834907,15.0,14.0,9.2,43.5
737467,8.3,7.0,6.5,31.5
881174,12.0,10.0,8.7,59.5
776010,13.5,10.0,7.8,52.0
823653,5.3,6.0,5.5,36.0
775789,11.3,11.0,6.9,44.5
765766,15.0,7.5,8.5,60.0
762257,9.9,6.0,8.0,39.5
857683,9.0,7.5,7.7,45.0
700166,6.8,0.0,5.5,36.5
792875,9.8,8.0,5.5,35.0
818801,12.8,10.0,9.5,54.0
801622,14.3,10.0,8.5,47.5
710618,15.0,15.0,10.0,60.0
750754,13.5,13.0,8.1,60.0
799227,14.3,12.0,10.0,56.0
774736,12.8,9.0,6.7,47.0
810265,9.0,6.5,6.0,23.0
728799,12.5,6.0,6.1,22.0
