id;class test 1;class test 2;lab test;exam
917780;90,0;45,0;100,0;38,5
1060475;85,0;85,0;100,0;56,0
990287;85,0;40,0;100,0;46,5
1017571;95,0;90,0;100,0;58,0
931020;90,0;90,0;100,0;58,0
927110;75,0;75,0;100,0;49,0
1079923;85,0;40,0;80,0;51,5
1040918;95,0;40,0;100,0;45,0
1055924;90,0;47,5;80,0;35,0
929923;90,0;70,0;100,0;51,5
928020;85,0;75,0;100,0;41,0
957785;60,0;20,0;90,0;23,5
997234;85,0;82,5;100,0;55,5
1056292;55,0;20,0;90,0;19,5
1071736;75,0;42,5;100,0;34,0
1082827;80,0;30,0;80,0;23,0
954186;95,0;100,0;100,0;60,0
1048823;20,0;20,0;90,0;21,5
900987;95,0;97,5;100,0;60,0
1085354;95,0;42,5;60,0;31,5
1041589;100,0;62,5;100,0;50,5
1083413;65,0;10,0;100,0;23,5
1005971;85,0;45,0;100,0;40,5
1056032;65,0;30,0;80,0;36,5
1052742;90,0;45,0;90,0;35,5
1075617;95,0;20,0;80,0;17,0
1047585;95,0;80,0;100,0;51,0
906672;95,0;30,0;0,0;41,0
1078553;75,0;20,0;90,0;21,5
1054107;100,0;62,5;100,0;42,0
1041146;75,0;45,0;100,0;34,0
971539;75,0;52,5;80,0;33,5
969397;50,0;35,0;90,0;29,0
980041;50,0;25,0;90,0;20,0
1012586;75,0;30,0;100,0;27,5
912551;60,0;20,0;70,0;22,5
955900;95,0;100,0;100,0;59,0
1060101;95,0;100,0;100,0;55,0
1012029;90,0;75,0;100,0;56,0
1091472;70,0;25,0;90,0;36,0
1095624;45,0;25,0;70,0;33,0
1025925;70,0;60,0;90,0;45,0
1045665;90,0;65,0;90,0;47,5
944555;95,0;45,0;100,0;33,0
967020;90,0;67,5;90,0;50,0
943674;65,0;10,0;90,0;23,0
929044;60,0;20,0;100,0;20,5
1083707;50,0;0,0;0,0;20,5
998507;95,0;87,5;100,0;53,0
991225;65,0;47,5;80,0;29,0
1046999;85,0;75,0;100,0;44,5
1045007;65,0;15,0;70,0;28,5
934841;90,0;82,5;100,0;40,0
993828;80,0;57,5;100,0;45,0
1025483;50,0;60,0;100,0;45,0
916241;75,0;82,5;90,0;41,5
1051266;70,0;52,5;90,0;42,0
1025196;75,0;57,5;80,0;32,0
934486;75,0;55,0;100,0;40,5
1096060;60,0;20,0;80,0;21,0
964716;65,0;10,0;100,0;26,0
1099969;60,0;32,5;70,0;22,5
1080673;60,0;25,0;90,0;32,0
998540;50,0;20,0;60,0;29,0
1097532;75,0;50,0;80,0;34,5
973931;100,0;80,0;100,0;57,0
1083510;50,0;20,0;90,0;25,5
975690;50,0;25,0;80,0;34,5
945303;75,0;25,0;100,0;23,5
1023266;85,0;55,0;100,0;42,0
1064870;0,0;0,0;0,0;32,5
1016275;65,0;40,0;70,0;33,5
984980;70,0;25,0;70,0;27,5
1036988;55,0;35,0;90,0;27,5
913368;70,0;67,5;100,0;44,5
1061278;80,0;50,0;90,0;44,0
1023193;100,0;67,5;90,0;49,0
933508;75,0;62,5;90,0;41,5
968069;100,0;90,0;100,0;46,0
971410;70,0;42,5;90,0;23,0
1045516;75,0;70,0;90,0;36,0
1012994;75,0;25,0;60,0;31,0
964144;70,0;20,0;70,0;27,0
918774;85,0;55,0;90,0;37,5
1018236;85,0;50,0;80,0;36,0
955597;100,0;52,5;100,0;43,0
1003155;85,0;65,0;100,0;51,5
924834;90,0;62,5;100,0;45,5
919178;70,0;80,0;80,0;53,0
955568;55,0;10,0;100,0;24,5
1081902;70,0;30,0;90,0;39,5
915621;70,0;47,5;80,0;49,5
1054464;90,0;85,0;90,0;59,0
958388;95,0;57,5;90,0;41,0
968103;75,0;25,0;100,0;25,0
1022261;57,5;57,5;90,0;42,0
920511;65,0;40,0;100,0;30,0
981145;85,0;72,5;90,0;44,5
1091802;85,0;27,5;90,0;41,5
1087286;85,0;65,0;70,0;37,5
922097;85,0;92,5;100,0;55,5
1093995;80,0;40,0;90,0;38,5
1094896;75,0;82,5;100,0;46,0
901196;60,0;30,0;90,0;21,5
1035082;45,0;10,0;0,0;10,0
971204;60,0;32,5;90,0;24,0
1030977;70,0;30,0;90,0;26,0
987104;85,0;20,0;90,0;16,0
996425;45,0;30,0;70,0;24,5
906590;60,0;45,0;90,0;22,5
1027569;90,0;65,0;100,0;42,5
1060816;70,0;25,0;0,0;15,0
1049453;95,0;80,0;90,0;56,5
1024261;95,0;72,5;100,0;54,0
945888;95,0;100,0;100,0;59,0
1074786;70,0;45,0;80,0;26,5
1035555;95,0;20,0;90,0;35,5
1060071;90,0;90,0;90,0;28,5
1016882;90,0;95,0;100,0;44,5
990135;95,0;85,0;60,0;55,0
958744;55,0;10,0;80,0;13,5
1098418;95,0;55,0;60,0;51,0
1052723;100,0;95,0;100,0;53,0
927175;85,0;35,0;90,0;46,5
1034616;95,0;75,0;100,0;60,0
1047861;85,0;77,5;100,0;58,0
1038592;50,0;10,0;0,0;17,0
917980;85,0;0,0;100,0;34,0
931356;45,0;20,0;90,0;30,5
926071;95,0;95,0;100,0;56,0
1075064;90,0;70,0;90,0;51,0
999371;70,0;32,5;90,0;43,0
1013505;90,0;95,0;90,0;52,0
1057400;95,0;95,0;100,0;60,0
997803;90,0;95,0;100,0;53,0
1072862;80,0;50,0;100,0;49,0
931974;35,0;47,5;90,0;39,5
935913;85,0;37,5;100,0;26,5
994956;55,0;10,0;70,0;25,0
1066559;95,0;87,5;100,0;60,0
1045259;45,0;20,0;80,0;20,5
1059492;90,0;85,0;100,0;58,0
961127;70,0;25,0;100,0;25,5
1022711;70,0;40,0;60,0;29,5
916393;40,0;20,0;80,0;25,5
1062250;60,0;25,0;80,0;23,0
1055262;55,0;48,0;90,0;30,0
904034;60,0;55,0;80,0;40,0
903294;80,0;75,0;80,0;45,0
