id,class test 1,class test 2,lab,assignment,exam
1162847,10.5,9.0,20.0,15.0,20.5
1209171,13.5,10.0,15.0,15.0,30.5
1161166,12.75,11.0,20.0,14.9,24.5
1191183,10.5,8.0,15.0,14.7,21.0
1288093,9.75,12.0,9.0,13.5,21.5
1232214,6.75,8.0,13.0,14.9,12.5
1211592,11.25,7.0,17.0,12.0,15.5
1202068,13.5,11.0,20.0,15.0,25.0
1240940,11.25,8.0,20.0,9.0,24.0
1118253,12.75,6.0,20.0,15.0,30.0
1150532,13.5,13.0,20.0,15.0,32.0
1288486,7.5,8.0,12.0,4.5,13.0
1177853,7.5,10.0,20.0,14.7,19.5
1248420,12.75,13.0,20.0,14.7,28.5
1167281,14.25,10.0,20.0,15.0,27.5
1256170,12,10.0,20.0,14.7,22.5
1138910,7.5,9.0,7.0,13.7,15.5
1235794,8.25,8.0,13.0,15.0,18.5
1173472,8.25,9.0,9.0,13.4,13.5
1257652,8.25,11.0,19.0,14.9,25.5
1258957,8.25,6.0,2.0,6.0,18.5
1254241,14.25,14.0,20.0,15.0,33.0
1225024,7.5,8.0,13.0,13.5,7.5
1131414,13.5,10.0,20.0,15.0,27.0
1171043,6.75,8.0,7.0,13.5,12.0
1239188,10.5,10.0,10.0,0.2,20.5
1184897,8.25,9.0,15.0,13.4,18.5
1291230,13.5,11.0,20.0,15.0,35.0
1111846,12.75,12.0,20.0,15.0,21.5
1127560,0,0.0,10.0,0.0,0.0
1254091,8.25,12.0,9.0,10.5,15.0
1126231,14.25,12.0,20.0,14.7,31.5
1256185,12.75,8.0,20.0,15.0,24.0
1194320,11.25,8.0,20.0,13.5,26.5
1178249,12.75,11.0,20.0,15.0,29.0
1177235,0,9.0,20.0,4.5,0.0
1269065,9.75,0.0,0.0,3.0,0.0
1213271,13.5,11.0,20.0,15.0,33.0
1214386,11.25,11.0,10.0,7.8,18.5
1159194,10.5,7.0,14.0,15.0,19.5
1262007,8.25,7.0,9.0,13.4,22.0
1202151,11.25,8.0,20.0,12.0,22.5
1261103,14.25,15.0,20.0,15.0,35.0
1262564,12,11.0,15.0,4.2,24.5
1225675,7.5,8.0,9.0,15.0,13.5
1116033,9,9.0,9.0,15.0,17.5
1223844,9.75,8.0,6.0,15.0,10.5
1125913,9.75,9.0,6.0,4.5,26.5
1183913,13.5,14.0,20.0,10.5,31.5
1248968,12.75,8.0,19.0,15.0,24.0
1171563,14.25,13.0,20.0,15.0,31.5
1101415,4.5,6.0,7.0,11.9,8.5
1182425,14.25,14.0,20.0,15.0,33.5
1219816,14.25,12.0,20.0,15.0,32.5
1127602,14.25,15.0,20.0,15.0,30.0
1102482,14.25,14.0,20.0,15.0,32.0
1136570,13.5,13.0,20.0,15.0,33.5
1254578,8.25,12.0,15.0,14.3,21.5
1164377,6,8.0,5.0,0.5,10.5
1200419,12,11.0,15.0,1.5,19.0
1254742,11.25,7.0,20.0,14.7,18.5
1125150,11.25,12.0,17.0,12.0,28.5
1225025,6.75,14.0,20.0,7.2,23.0
1232658,9,8.0,14.0,15.0,17.0
1276176,10.5,8.0,14.0,14.6,21.5
1228683,6,11.0,8.0,13.5,17.0
1299737,0,0.0,0.0,6.0,0.0
1164728,11.25,10.0,20.0,12.5,28.0
1224775,13.5,15.0,20.0,15.0,35.0
1160170,12.75,13.0,19.0,14.9,28.5
1229058,12,13.0,15.0,13.7,25.0
1234182,6.75,10.0,12.0,6.0,14.5
1109995,9.75,8.0,13.0,12.9,23.5
1116757,11.25,8.0,20.0,15.0,23.5
1221936,8.25,8.0,15.0,1.5,25.5
1257574,9.75,7.0,4.0,9.5,20.5
1114141,11.25,7.0,20.0,13.5,15.5
1169516,13.5,14.0,20.0,14.7,32.5
1261861,9.75,10.0,15.0,14.9,18.0
1186993,9,9.0,9.0,14.1,25.5
1261697,13.5,9.0,20.0,15.0,32.5
1139305,11.25,10.0,15.0,12.0,23.0
1232362,8.25,8.0,11.0,10.4,23.0
1138291,10.5,12.0,7.0,9.8,29.5
1293704,6.75,7.0,3.0,7.5,14.0
1247212,0,0.0,0.0,7.5,0.0
1281058,0,0.0,0.0,6.0,0.0
1133556,0,0.0,13.0,4.5,19.0
1288572,9.75,13.0,14.0,10.5,29.5
1113012,8.25,9.0,15.0,13.5,13.5
1165621,9,0.0,0.0,13.5,0.0
1240050,13.5,0.0,20.0,12.0,19.5
1228150,12.75,12.0,15.0,15.0,18.0
1191469,9,8.0,4.0,8.1,19.5
1142767,9.75,9.0,6.0,11.7,28.5
1194551,4.5,6.0,14.0,13.5,13.5
1217925,12.75,10.0,8.0,13.5,19.0
1279607,13.5,11.0,20.0,15.0,29.5
1122223,6.75,10.0,20.0,11.9,24.5
1124483,7.5,10.0,13.1,11.7,23.0
1181280,4.5,9.0,17.0,0.0,15.5
1199791,8.25,6.0,7.0,14.9,20.0
1276771,5.25,9.0,0.0,9.6,10.5
1211989,0,0.0,0.0,3.0,0.0
1279342,12.75,14.0,20.0,15.0,35.0
1131108,6.75,0.0,0.0,7.5,0.0
1287094,8.25,15.0,1.0,0.0,23.0
1273431,10.5,11.0,20.0,9.0,25.5
