id,lab test 1,class test 1,lab test 2,labs,assignment,lab exam,written exam
1454411,18.7,19,60.0,93.3,65.3,32.5,34.0
1361407,100.0,42,97.5,100.0,101.5,100.0,57.5
1351827,84.4,26.5,94.9,89.1,96.8,100.0,38.5
1336649,100.0,49,100.0,100.0,100.0,100.0,64.0
1331047,92.2,42,89.9,100.0,77.9,80.0,52.0
1316400,100.0,41,54.0,100.0,89.8,80.0,37.0
1370900,100.0,56,100.0,100.0,100.0,100.0,64.0
1359004,100.0,42,85.7,100.0,100.0,100.0,53.0
1333375,73.3,44,0.0,56.2,34.4,,0.0
1396451,100.0,40,94.9,100.0,100.0,100.0,52.5
1452912,36.2,15.5,97.5,83.2,68.2,92.5,24.0
1323080,80.0,42.5,45.9,100.0,90.4,72.5,46.5
1340680,0.0,,0.0,0.0,0.0,0.0,0.0
1398011,100.0,35.5,100.0,90.8,78.9,97.2,39.5
1337420,97.8,53,100.0,100.0,97.8,100.0,56.0
1464819,30.0,21.5,54.9,83.8,64.5,32.5,32.5
1360434,24.2,17,70.0,85.4,79.7,72.5,28.5
1492029,100.0,51.5,100.0,100.0,92.0,100.0,50.0
1314877,26.3,14,61.6,51.7,41.1,84.2,29.0
1482216,41.9,27,100.0,93.2,96.8,100.0,49.5
1364299,30.0,17.5,66.7,76.9,74.5,52.5,26.5
1356891,10.0,32,67.5,100.0,79.0,61.1,40.0
1350890,30.0,19.5,72.4,99.4,80.3,80.0,30.5
1344103,30.0,,80.0,85.5,62.5,25.0,31.5
1395607,15.0,40.5,60.0,86.7,57.5,37.5,50.0
1464585,90.4,50,100.0,100.0,104.4,100.0,63.5
1375429,53.7,36,92.4,97.8,97.8,80.0,56.0
1416532,5.0,17,60.0,94.0,81.8,72.5,31.0
1425662,25.0,20,30.0,93.3,25.0,20.0,26.0
1371007,90.0,,96.7,95.0,95.0,80.0,47.5
1316589,90.0,40,100.0,100.0,85.0,100.0,43.0
1451763,57.1,31,80.0,100.0,95.0,68.9,41.0
1460098,100.0,49.5,100.0,100.0,101.5,100.0,62.0
1341101,0.0,,0.0,0.0,0.0,0.0,0.0
1369313,100.0,39,90.0,100.0,88.0,100.0,64.0
1347121,98.9,47,100.0,100.0,104.4,100.0,67.0
1462432,100.0,51.5,100.0,100.0,99.5,100.0,53.5
1448689,60.0,27,60.0,100.0,59.4,52.5,34.5
1314574,27.2,11,45.9,100.0,86.5,72.5,31.0
1362471,0.0,,0.0,0.0,0.0,0.0,0.0
1316753,10.0,,0.0,2.2,12.5,0.0,11.0
1366278,82.2,34,84.0,100.0,100.0,85.0,52.5
1318471,60.9,24,94.9,100.0,92.5,58.0,35.0
1469410,0.0,23,64.9,73.3,78.6,72.5,44.5
1358050,25.0,33,100.0,87.9,75.1,76.1,41.5
1492577,64.7,44.5,100.0,100.0,88.5,100.0,52.0
1439787,56.7,23,81.6,100.0,85.0,40.8,35.5
1490897,100.0,59,100.0,100.0,104.4,100.0,63.0
1407734,25.0,7.25,0.0,99.4,35.0,10.0,11.5
1456049,60.0,25,94.2,100.0,73.9,80.0,39.0
1486905,29.4,21,34.0,100.0,77.2,52.5,32.0
1410962,84.0,32.5,100.0,100.0,98.5,100.0,50.5
1362417,10.0,22,68.0,100.0,70.7,30.0,29.0
1407688,45.0,38.5,85.0,100.0,93.9,65.8,38.0
1435852,0.0,,0.0,0.0,0.0,0.0,0.0
1422599,45.0,23.5,30.0,87.7,63.2,42.8,40.5
1472760,98.9,38,100.0,100.0,102.0,100.0,45.0
1385520,10.0,17,22.0,46.7,82.5,25.0,39.5
1455630,100.0,52,100.0,100.0,103.8,100.0,59.5
1302790,92.0,42,100.0,100.0,102.0,100.0,59.5
1330514,30.0,22,80.0,100.0,59.2,17.5,37.0
1431874,100.0,49,100.0,100.0,105.0,100.0,66.5
1385208,32.3,20.5,67.4,78.3,67.5,100.0,26.5
1384067,73.8,35,80.0,77.2,72.5,80.0,51.0
1440606,13.3,14.5,0.0,12.4,25.0,10.0,18.0
1347858,100.0,50.5,100.0,100.0,104.0,100.0,62.0
1323100,100.0,48.5,90.8,95.9,100.0,80.0,64.0
1309238,57.9,15,50.1,81.7,77.3,27.5,23.0
1458787,10.0,23,14.0,70.0,37.2,32.5,29.0
1403213,22.2,18.5,60.0,100.0,82.5,17.5,19.5
1491251,34.4,30,54.9,91.8,82.5,57.5,37.0
1309801,90.0,26,100.0,100.0,87.5,100.0,38.0
1382600,29.8,17,40.0,94.2,83.2,2.5,22.0
1354219,21.1,21.5,30.0,50.0,84.0,80.0,41.5
1491108,30.0,37,,60.5,12.5,,0.0
1330232,20.0,9.5,15.9,100.0,86.9,52.5,19.0
1458577,66.0,23,84.9,100.0,84.8,78.6,27.0
1313559,10.0,20,65.5,81.7,62.5,65.8,31.0
1454680,10.0,16.5,0.0,47.6,50.9,2.5,14.0
1361871,29.2,32,30.0,90.0,72.5,30.0,37.5
1383274,69.3,32,100.0,100.0,82.5,72.5,42.0
1322292,0.0,10.5,,5.5,,0.0,17.0
1368132,10.0,15,26.4,100.0,67.5,80.0,20.0
1467931,25.0,29,96.7,100.0,96.5,100.0,46.0
1418800,83.3,40,100.0,100.0,98.4,100.0,48.5
1300358,23.1,23.5,12.0,100.0,79.3,15.0,26.5
1466901,40.2,21.5,63.9,92.1,71.2,52.5,35.0
1499260,10.0,22.5,54.9,93.3,91.8,71.4,28.5
1454945,100.0,41,100.0,100.0,102.8,100.0,39.5
1320460,63.7,28.5,81.5,93.3,79.9,80.0,49.0
1396683,100.0,33.5,97.5,100.0,84.4,80.0,28.5
1332591,65.7,24,64.7,99.4,77.3,33.6,31.0
1332333,59.4,33,96.7,98.1,74.2,80.0,40.0
1462512,33.3,16.5,61.6,93.9,78.1,0.0,23.5
1303329,31.2,27,75.7,74.8,68.3,66.4,43.0
1359908,74.2,21.5,60.1,85.1,60.8,0.0,35.5
1359946,54.8,29,94.9,100.0,100.0,100.0,53.5
1332240,86.2,40.5,100.0,93.1,89.4,80.0,51.0
1488888,40.4,31,54.9,78.8,62.5,46.1,35.5
1476362,32.0,19,87.5,100.0,91.7,53.6,37.5
1404028,85.0,37.5,100.0,100.0,90.7,80.0,41.0
1432316,32.2,25.5,60.0,52.9,61.6,68.6,34.0
1471704,77.7,36.5,97.5,100.0,90.7,80.0,51.0
1497639,21.7,18,52.5,100.0,65.1,40.3,37.5
1383831,52.2,17,100.0,84.9,79.8,80.0,42.0
1352641,30.0,19,39.9,43.3,58.5,58.3,34.0
1467321,57.9,26.5,97.5,84.2,90.7,94.2,42.5
1459403,90.0,37.5,100.0,77.6,86.6,80.0,53.5
1419253,70.0,31,30.0,100.0,57.5,60.0,41.5
1427182,97.8,39,100.0,100.0,93.5,80.0,48.0
1488156,0.0,,0.0,0.0,0.0,0.0,0.0
1447340,25.0,20.5,39.9,76.5,80.1,56.1,39.5
1359229,20.0,36.5,67.5,71.5,72.5,33.6,29.5
1398376,97.8,47.5,92.0,100.0,100.5,100.0,49.5
1348428,28.7,32.5,100.0,93.7,87.5,77.5,54.5
1359194,84.0,31.5,92.0,93.4,96.5,87.5,46.0
1371984,53.7,20,65.0,100.0,88.6,80.0,40.0
1331184,,,,28.9,,,0.0
1414315,97.8,35,97.5,100.0,96.8,100.0,44.5
1459041,76.3,33.5,70.0,98.6,80.9,100.0,56.0
1439233,50.4,44,60.0,73.3,67.0,100.0,55.5
1364390,100.0,,100.0,100.0,104.0,100.0,60.5
1351863,100.0,44.5,100.0,100.0,101.5,100.0,57.5
1369628,51.4,16.5,100.0,100.0,96.3,0.0,16.5
1344783,10.0,18,30.0,77.1,81.5,2.5,29.0
1487676,10.0,12,40.0,60.2,69.4,2.5,20.5
1484028,10.0,23,67.6,66.8,66.1,80.0,36.5
1413004,30.0,21.5,30.0,45.0,72.5,68.6,31.0
1357026,19.2,20,14.0,32.2,77.5,40.8,35.0
1379330,27.2,20.5,83.3,100.0,91.9,80.0,31.5
1406318,100.0,51,95.0,95.0,95.0,100.0,61.5
1463491,34.0,24.5,66.7,96.7,71.0,71.4,21.5
1464971,90.0,37.5,90.0,93.3,67.0,100.0,39.0
1441058,51.4,16,100.0,100.0,101.3,0.0,5.0
1451376,91.8,28,34.0,73.1,59.0,32.5,22.0
1425097,0.0,,0.0,0.0,0.0,0.0,0.0
1417634,,,,0.0,,,0.0
1321779,20.0,12,74.9,100.0,93.7,63.9,26.5
1460336,53.7,18.5,84.9,100.0,87.5,0.0,23.0
1362931,14.2,18,10.0,0.6,75.0,15.1,29.5
1468466,55.0,34,60.1,70.9,73.9,75.0,46.5
1433269,30.6,15.5,34.0,86.5,64.7,27.5,22.0
1466476,55.0,32.5,30.0,84.9,84.0,40.0,42.5
1309833,98.9,46,97.5,100.0,90.0,100.0,56.5
1332670,32.0,19.5,18.0,97.0,77.6,72.5,18.0
1459074,100.0,49,100.0,100.0,100.0,100.0,55.5
1336723,,44,100.0,100.0,81.7,80.0,34.0
1374257,51.7,15.5,87.5,100.0,85.1,32.5,19.0
1381513,100.0,41,97.5,87.1,100.0,80.0,55.0
1369551,10.0,17.5,67.5,100.0,70.0,57.5,33.5
1425897,0.0,,0.0,0.0,0.0,0.0,0.0
1422908,94.7,32.5,100.0,100.0,101.5,100.0,60.0
1461455,25.0,25,90.0,100.0,62.5,25.0,35.0
1304982,100.0,42,75.0,72.1,84.2,94.2,48.0
1413505,100.0,47,94.9,100.0,105.0,100.0,56.5
1464882,93.3,44,85.9,100.0,84.4,92.5,55.5
1352712,36.4,21.5,66.7,100.0,101.5,50.0,49.5
1477681,20.0,26.5,60.0,65.7,63.8,12.5,38.0
1317725,51.4,13.5,100.0,85.0,96.3,0.0,15.5
1408516,0.0,0,0.0,0.0,0.0,0.0,0.0
1388389,20.3,13.5,23.9,92.8,90.7,61.1,30.5
1483739,37.4,18.5,70.1,100.0,101.5,75.0,16.5
1365822,42.9,31.5,80.0,95.0,60.8,30.0,30.0
1354503,68.5,27,96.7,77.9,75.0,61.1,40.0
1362912,10.0,20,33.7,86.1,84.0,53.6,36.5
1391752,18.3,,,2.2,12.5,0.0,0.0
1344145,10.0,38,79.9,100.0,93.2,80.0,40.5
1327361,21.1,25.5,60.0,55.3,58.1,60.0,36.5
1407582,33.7,17,65.0,100.0,78.6,80.0,31.5
1347859,82.0,31,80.0,81.9,76.7,80.0,50.0
1404871,45.0,24,77.5,28.4,62.5,60.0,32.0
1353682,80.7,35,100.0,98.9,96.3,100.0,42.0
1481808,100.0,43,100.0,100.0,95.0,100.0,53.0
1411869,30.0,33.5,65.0,59.8,85.7,45.0,53.0
1460263,53.7,29.5,100.0,100.0,95.7,80.0,52.5
1409766,49.2,8.5,100.0,100.0,95.0,0.0,12.0
1469143,58.9,26.5,72.1,100.0,77.4,72.5,35.0
