id;class test 1;lab test 1;class test 2;lab test 2;class participation;lab exam;written
1592453;27,5;30;14,0;45,0;93,0;70,0;33,0
1535526;23,0;24;22,0;90,0;59,2;72,5;34,5
1617865;39,0;100;41,5;90,0;81,5;100,0;48,0
1528979;38,5;100;36,5;103,8;97,0;100,0;47,0
1562861;40,0;96;32,5;101,7;92,7;85,0;45,0
1651561;14,0;0;0,0;0,0;0,0;0,0;0,0
1530974;44,5;100;43,0;105,0;81,5;100,0;57,0
1653828;28,5;80;27,5;100,0;78,3;90,0;47,0
1542442;29,0;14;30,5;78,8;78,5;100,0;31,5
1592027;38,5;100;31,0;105,0;74,6;100,0;40,0
1505874;44,0;96;28,5;97,5;93,8;100,0;39,5
1696347;43,0;80;35,0;92,5;63,7;80,0;37,0
1681166;50,0;105;45,0;105,0;101,5;100,0;60,0
1573518;33,5;100;28,0;88,8;98,5;100,0;26,5
1645875;41,5;100;36,5;100,0;97,5;100,0;48,0
1677006;30,5;84;21,5;102,5;79,3;100,0;30,5
1639828;47,0;100;42,0;105,0;100,1;100,0;58,0
1638599;34,0;80;32,5;100,0;81,4;100,0;35,0
1609315;42,0;100;35,0;100,0;81,5;100,0;44,5
1592701;42,0;100;37,5;105,0;74,9;100,0;55,0
1544087;29,0;16;18,5;70,0;79,3;70,0;29,0
1584819;18,5;0;0,0;0,0;2,6;0,0;
1579176;30,0;8;15,5;0,0;30,8;0,0;7,5
1503880;30,5;40;25,0;90,0;68,2;77,5;29,5
1548762;29,5;80;24,5;100,0;70,3;85,0;25,0
1693218;37,5;80;29,5;92,5;95,5;85,0;27,5
1651809;23,0;10;17,0;63,8;95,5;47,5;29,5
1657882;22,5;26;4,5;0,0;21,9;37,5;10,0
1644620;13,0;10;16,0;0,0;32,1;30,0;17,0
1538452;23,0;10;18,0;90,0;97,9;100,0;30,5
1612225;23,0;6;21,0;65,0;91,2;37,5;19,5
1622976;36,5;92;29,5;102,5;101,5;100,0;49,0
1614772;23,5;0;17,0;42,5;92,6;40,0;21,5
1668789;37,5;60;29,0;105,0;73,8;95,0;32,0
1678248;29,5;62;28,0;100,0;78,5;100,0;43,0
1653082;32,5;42;33,0;75,0;71,4;90,0;38,0
1590728;25,0;62;23,5;90,0;95,5;80,0;40,0
1650584;30,5;10;30,5;92,5;60,2;90,0;36,5
1651762;25,5;42;29,0;45,0;58,7;85,0;42,5
1623471;26,0;44;23,5;90,0;66,8;55,0;29,0
1684279;25,0;3,3;16,5;10,0;45,9;17,5;16,0
1563924;27,0;30;13,5;21,3;56,8;57,5;17,0
1546223;18,5;30;19,0;75,0;71,2;80,0;27,5
1568385;21,5;10;13,0;0,0;66,6;17,5;9,0
1696576;10,5;27,3;12,5;45,0;60,0;30,0;11,5
1618647;39,5;84;36,5;92,5;75,2;80,0;50,0
1581701;47,5;100;36,0;100,0;81,5;100,0;54,0
1593447;19,5;0;5,0;0,0;39,0;0,0;8,0
1640300;39,5;100;24,5;97,5;69,7;100,0;27,0
1533327;24,0;0;0,0;0,0;18,0;0,0;0,0
1640120;36,5;72;14,0;75,0;11,0;30,0;0,0
1682458;28,5;42;12,0;90,0;91,2;80,0;17,5
1558242;27,5;30;25,0;27,5;63,7;57,5;15,0
1582841;38,0;100;32,5;105,0;80,7;100,0;49,0
1505491;27,0;18;26,5;0,0;5,6;70,0;27,5
1500155;34,5;30;20,5;52,5;75,3;75,0;39,0
1583389;23,5;58;22,0;80,0;89,8;90,0;37,5
1697694;32,5;30;20,0;78,8;94,5;100,0;40,5
1691540;48,0;100;36,0;105,0;101,5;100,0;51,0
1575471;44,5;84;34,0;100,0;77,8;90,0;44,5
1600548;42,5;88;18,5;78,8;48,9;100,0;39,0
1547176;25,0;40;15,5;30,0;44,5;30,0;14,0
1656979;21,5;10;17,5;75,0;86,2;57,5;36,5
1688502;27,0;60;19,5;67,5;67,7;60,0;30,5
1690216;24,5;10;8,0;25,0;51,3;37,5;20,5
1511023;25,0;40;13,0;40,0;61,0;47,5;23,0
1593356;29,0;36;23,5;83,8;59,5;80,0;31,5
1586144;41,0;100;36,5;90,0;67,6;100,0;33,0
1519223;34,0;60;21,5;25,0;9,1;30,0;22,0
1581717;37,5;80;29,5;86,3;68,3;80,0;29,0
1653202;9,0;10;10,0;0,0;8,5;32,5;25,0
1561298;32,0;68;29,0;90,0;67,4;80,0;32,5
1659511;33,5;60;23,5;100,0;99,0;70,0;42,0
1541103;25,0;18;15,5;32,5;41,2;32,5;23,0
1579266;25,0;10;9,5;46,3;69,8;35,0;12,5
1660859;43,0;105;42,0;100,0;79,3;100,0;57,0
1515636;34,0;76;26,5;45,0;60,7;52,5;30,5
1692849;29,0;14;17,0;82,5;54,5;62,5;20,0
1584036;33,0;82;30,5;99,2;71,2;85,0;42,0
1646365;30,0;42;24,5;75,0;71,4;80,0;40,0
1554838;40,0;100;24,5;78,8;89,3;100,0;42,0
1590037;42,0;60;29,5;90,0;58,7;90,0;42,0
1573964;30,5;100;36,0;95,0;99,3;100,0;34,0
1669016;25,0;30;15,0;45,0;79,5;85,0;29,5
1559220;33,5;30;26,0;45,0;74,1;60,0;33,0
1610260;46,0;100;39,0;105,0;96,6;100,0;40,5
1527935;34,5;10;24,5;73,8;52,9;60,0;29,5
1583341;40,5;100;34,0;100,0;68,4;100,0;45,0
1592203;18,0;0;3,5;0,0;3,5;30,0;8,5
1655900;33,5;44;16,5;78,8;80,8;75,0;34,5
1697943;42,5;60;24,0;92,5;72,9;80,0;45,5
1541631;14,0;0;0,0;0,0;39,2;0,0;
1610697;18,0;30;8,0;78,8;45,0;30,0;21,5
1598031;32,5;80;27,5;86,3;43,6;72,5;33,0
1547061;23,0;10;15,5;45,0;74,8;50,0;36,0
1518398;35,0;100;31,5;88,8;63,4;75,0;45,0
1575250;28,5;10;11,0;45,0;58,3;42,5;23,0
1508045;15,0;10;0,0;0,0;38,3;0,0;
1618384;29,5;36;24,5;75,0;89,4;60,0;24,0
1654782;32,0;62;27,0;90,0;100,6;80,0;41,5
1628796;23,0;22;24,5;45,0;90,8;85,0;37,0
1615668;19,0;0;14,5;12,5;15,7;5,0;25,5
1530664;18,5;4;12,0;35,0;54,2;25,0;16,5
