Stud No,Class,Exam,Final
542821,53.5,56.5,58
624508,50.5,40,46
656409,64.5,68,70
536609,46,63.5,60
590622,53,50,54
692015,42.5,63,58
560763,42.5,62,58
548557,76,62.5,71
511945,22.5,52,43
511170,44,66,61
663699,48,60.5,59
579187,58.5,56,60
625617,55.5,71,69
656482,57.5,46.5,53
567817,40,0,15
651443,38,62,56
636478,24.5,37.5,34
505856,27,49.5,43
646684,76,65,73
606284,49,58,58
526304,56,69.5,68
689779,21.5,53,44
544182,44,49.5,50
543796,44.5,41,44
688511,40,54.5,52
579556,34.5,49.5,46
528984,67,66.5,70
613038,42.5,68.5,62
532623,42,42,44
533059,13.5,48,37
541557,63.5,54.5,61
583059,23,40,36
517865,54,75,71
594317,53.5,62.5,62
664582,32.5,67.5,58
670968,33,56,50
596813,73,81,82
673360,22.5,32,30
529620,60,63.5,65
538834,49.5,43,48
622116,43.5,77,68
531378,30.5,51,46
694641,29,47,42
657949,45.5,63.5,60
590683,49,63.5,61
587123,42.5,58,55
517522,36.5,55,51
686345,42.5,74,66
555727,42,65,59
528701,49,45,49
643620,51,44.5,49
666389,23.5,53.5,45
694741,65,76.5,76
612035,24,58,48
686721,55,60.5,61
648246,60,67.5,68
525376,59,62.5,64
671522,67,65,69
510648,43.5,50.5,50
672892,48.5,61,59
657138,39,55.5,52
640475,35,67.5,58
564943,46.5,52.5,53
