Stud No,Homework,Homework,Homework,Exam,Final
702696,6,10,4,38,63
764138,0,0,0,36,36
757100,10,10,10,56,96
831851,7,7,4,18,42
851935,8,10,10,46,83
718548,5,10,10,41,74
739390,9,10,8,31,67
742159,10,10,10,47,87
742760,9,10,8,54,90
898978,9,10,10,48,87
872966,0,0,10,12,27
815581,7,0,0,30,41
739479,8,10,10,44,81
721373,9,5,10,51,85
809398,7,10,10,52,88
839515,0,4,10,14,33
752097,5,10,10,45,78
817477,9,10,10,52,91
758519,8,4,10,51,82
872474,7,5,10,41,72
876064,7,4,10,51,81
818368,9,10,10,28,67
799164,9,10,10,51,90
702998,9,10,10,39,78
803277,7,10,4,34,61
779539,0,4,4,39,49
877147,0,0,10,38,53
782734,8,10,4,44,72
766220,8,10,10,38,75
754312,0,0,0,12,12
815253,8,10,10,52,89
891460,7,10,4,38,65
852306,0,0,4,40,46
858618,8,10,4,43,71
739591,7,10,10,43,79
866211,7,10,0,48,69
763363,9,10,10,44,83
802449,5,0,0,35,43
856563,7,10,10,33,69
718921,0,0,10,39,54
877217,7,4,4,28,49
711724,0,10,0,49,59
827890,0,8,0,49,57
876762,9,10,10,46,85
789162,6,4,4,46,65
896456,8,10,10,41,78
819370,5,10,10,38,71
873397,7,5,10,27,58
775975,0,10,10,35,60
847162,9,10,10,41,80
896104,7,10,10,20,56
769741,7,10,10,41,77
768884,0,10,0,40,50
713390,8,4,10,24,55
745091,7,10,10,35,71
771512,7,10,10,49,85
820362,10,10,10,39,79
847322,7,4,10,46,76
847178,0,4,4,0,10
767380,7,10,10,29,65
861249,8,10,8,18,52
777698,0,0,4,39,45
887171,7,10,6,41,71
878710,0,0,0,14,14
761685,9,10,4,42,72
834609,8,10,10,36,73
739134,9,8,10,41,78
735374,0,0,10,40,55
843550,7,10,10,44,80
848486,7,10,10,35,71
826065,10,10,8,47,84
753626,9,10,10,31,70
781430,8,10,4,38,66
705635,0,4,4,26,36
722183,5,0,4,27,41
750525,0,0,0,52,52
774736,8,10,6,47,78
810265,5,0,0,48,56
728799,9,10,10,32,71
