Stud No,H/Work,H/Work,Test,Exam,Final
917780,78,63,7,27,62
1060475,80,49,8,0,21
990287,63.8,49,13,19,53
1017571,85,43,16,30,74
931020,92.5,94,13,34,83
927110,82.5,64,11,29,69
1079923,48.8,66,18,36,83
1040918,73.8,0,10,13,37
1055924,42.5,100,4,17,44
929923,50,62,13,29,68
928020,0,0,0,18,27
957785,0,57,14,31,66
997234,0,0,8,15,31
1056292,75,59,0,19,42
1071736,70,0,5,15,35
1082827,75,0,8,26,55
954186,62.5,59,5,29,61
1048823,100,100,13,34,84
900987,72.5,49,9,19,50
1085354,46.3,0,0,0,5
1041589,0,0,6,24,42
1083413,80,66,12,24,63
1005971,77.5,95,5,14,43
1056032,25,0,7,29,53
1052742,80,59,9,23,57
1075617,0,0,0,6,9
1047585,40,95,8,31,68
906672,70,33,9,25,57
1078553,80,100,9,22,60
1054107,0,47,5,25,47
1041146,0,0,12,13,32
971539,0,0,9,23,44
969397,86.3,0,11,33,69
980041,50,13,6,27,53
1012586,0,0,12,18,39
912551,0,57,6,25,49
955900,72.5,55,9,25,59
1060101,87.5,44,9,28,64
1012029,75,0,12,19,48
1091472,50,64,3,22,47
1095624,0,100,10,14,41
1025925,65,64,8,19,49
1045665,75,95,10,24,63
944555,0,89,15,30,69
967020,57.5,64,5,26,56
943674,87.5,78,7,22,57
929044,60,84,4,21,50
1083707,67.5,49,12,31,70
998507,80,64,4,14,39
991225,62.5,66,9,27,62
1046999,0,0,4,0,4
1045007,40,73,13,22,57
934841,22.5,0,11,28,55
993828,0,0,4,18,31
1025483,0,0,13,24,49
916241,65,84,7,14,43
1051266,10,0,7,17,34
1025196,55,66,16,29,72
934486,80,68,6,29,64
1096060,0,0,6,8,18
964716,70,0,13,27,61
1099969,0,0,5,12,23
1080673,92.5,89,6,29,68
998540,35,64,9,0,19
1097532,70,48,12,30,69
973931,50,64,4,30,60
1083510,86.3,59,16,31,77
975690,86.3,100,13,30,77
945303,50,64,9,13,40
1023266,50,64,9,15,43
1064870,20,69,8,29,60
1016275,57.5,0,7,26,52
984980,87.5,38,10,29,66
1036988,85,66,20,34,86
913368,67.5,75,10,19,53
1061278,37.5,18,11,27,57
1023193,82.5,94,10,26,67
933508,82.5,66,16,32,79
968069,80,68,8,26,62
971410,68.8,33,13,17,49
1045516,0,0,0,0,0
1012994,77.5,0,11,23,53
964144,85,66,11,33,76
918774,62.5,0,7,27,54
1018236,25,100,9,26,61
955597,90,0,12,29,65
1003155,82.5,100,17,36,89
924834,0,0,3,0,3
919178,0,0,8,22,41
955568,85,100,12,33,80
1081902,5,0,19,29,63
915621,55,0,12,26,57
1054464,80,100,17,35,88
958388,95,79,14,33,81
968103,0,0,6,12,24
