Stud No,Homework,Homework,Homework,Class test,Exam,Final
1162847,86,93,50,14,34,71
1209171,19,15,43,9,34,53
1161166,80,58,52,10,22,49
1191183,86,100,87,17,39,83
1288093,66,0,41,20,32,56
1232214,8,45,0,10,22,39
1211592,77,0,45,15,39,63
1202068,60,52,0,12,29.5,52
1240940,96,96,68,17,38,80
1118253,78,65,0,10,17,39
1150532,86,75,79,13,34.5,71
1288486,86,100,39,16,44,84
1177853,0,0,0,0,0,0
1248420,80,78,22,15,37,70
1167281,89,0,61,9,26,46
1256170,86,0,70,19,38,66
1138910,60,0,0,8,21,32
1235794,77,0,11,16,37,57
1173472,10,0,0,10.2,25.5,36
1257652,50,0,32,13,35,54
1258957,67,65,0,0,15,31
1254241,50,82,45,16,37,72
1225024,69,0,34,14,29.5,49
1131414,68,0,0,9,35,50
1171043,69,56,83,19,39,76
1239188,28,35,11,10,26.5,45
1184897,57,0,0,10,29,43
1291230,81,100,100,19,43,90
1111846,88,100,75,9,35,73
1127560,86,100,92,20,47,95
1254091,85,41,28,19,39,70
1126231,74,56,83,18,36,73
1256185,94,93,6,18,33,68
1194320,52,0,41,8,20,35
1178249,88,0,34,3,15,27
1177235,73,38,0,5,19,35
1269065,60,0,0,5,18,27
1213271,86,83,91,19,41,85
1214386,89,85,34,13,28,61
1159194,13,0,0,4,1,4
1262007,53,0,50,10,26,44
1202151,90,0,79,12,33.5,59
1261103,62,0,11,16,39,59
1262564,87,78,87,17,41,82
1225675,79,0,77,5,19,37
1116033,2,45,0,13.2,33,53
1223844,79,0,79,11.6,29,52
1125913,81,0,0,1.6,4,10
1183913,2,0,79,8,20,36
1248968,62,80,0,13,20,46
1171563,37,86,0,17,31,60
1101415,72,0,0,14,36,54
1182425,63,0,0,13,24.5,39
1219816,53,0,11,15,36,54
1127602,0,0,0,2,6,8
1102482,98,68,17,4,29,54
1136570,56,0,11,7,26,39
1254578,31,0,0,0,14,18
1164377,60,0,0,8.4,21,32
1200419,60,0,0,7.2,18,28
1254742,0,29,0,10,22,36
1125150,86,75,91,8,35,71
1225025,31,51,4,11,20,39
1232658,73,0,0,0,13,19
1276176,86,95,100,19,40,86
1228683,86,0,0,12,25,40
1299737,92,0,62,8,18.5,37
1164728,82,0,0,15,37,56
1224775,0,38,0,6,22,35
1160170,90,43,72,11,41,73
1229058,41,0,57,5,26,41
1234182,66,58,62,15,42,76
1109995,85,88,92,18,18,57
1116757,52,3,71,11,32,54
1221936,0,0,0,0,0,0
1257574,71,12,0,10,19,33
1114141,0,0,11,0,5,7
1169516,74,0,79,9,17,37
1261861,82,57,57,8,14,39
1186993,58,0,45,9,26,43
1261697,13,38,0,10,25,41
1139305,44,29,0,5,16,28
1232362,68,71,81,12,28.5,62
1138291,58,0,0,3,14,21
1293704,10,89,92,5,39,72
1247212,33,0,0,2,7,11
1281058,86,0,38,7,15,30
1133556,21,0,0,0,12,15
1288572,88,0,43,10,32,52
1113012,24,0,39,4,24,36
1165621,41,0,57,7,20,35
1240050,92,30,0,6,20,36
1228150,86,88,94,2,24,57
1191469,87,0,34,8.4,21,37
1142767,72,23,67,2,24,44
1194551,98,100,100,11,46,91
1217925,90,73,52,9,22,52
1279607,81,100,32,8,34.5,68
1122223,30,16,43,11,21,39
1124483,74,53,34,11,27,53
1181280,84,70,54,3,17,42
1199791,55,73,0,10,21,44
1276771,25,0,92,0,16,30
1211989,10,0,41,15,31,49
1279342,75,80,52,9,37,70
1131108,46,43,11,13,21,42
1287094,87,100,100,20,45,93
1273431,96,85,92,17,36,78
1114525,58,48,79,10,24.5,52
1240013,2,60,45,20,38,69
1165380,8,23,0,0,0,4
1156761,58,60,41,14.4,36,66
1134837,59,0,0,10,25,38
1207317,0,0,0,0,0,0
1229533,88,40,13,6,25,45
1238689,38,46,39,20,34,64
1210515,83,40,13,8,31,53
1133758,74,0,0,13,21,35
1130896,83,0,39,8,28,46
1258172,80,0,67,9,27,48
1219361,92,40,0,8,26,46
1289889,12,0,0,9,19.5,29
1193917,80,0,47,1,17,30
1211020,0,0,0,0,0,0
1195172,81,25,0,0,17,28
1143736,45,40,62,13,24,50
1109477,71,0,0,4,24,34
1286050,0,0,0,0,0,0
1247926,77,0,4,9,16,28
1111603,41,93,0,13,29,57
1125552,73,73,28,9,19,45
1137064,61,0,0,4.4,11,18
1232876,0,0,0,7,24,32
1132312,72,55,53,11,28,56
1217613,0,0,34,8,18,29
