Stud No,Class test 1,Assign 1,Exam,Final
702696,30.5,20.0,54.0,76
764138,29.0,17.0,51.0,70
757100,36.5,19.0,67.5,88
831851,16.5,19.0,53.0,67
851935,34.0,15.0,51.5,71
718548,28.0,17.0,65.0,80
739390,15.5,18.0,30.5,50
742159,41.0,18.0,82.5,100
742760,34.5,17.0,58.5,78
898978,33.0,18.0,60.0,80
872966,28.0,12.0,34.0,52
815581,23.0,0.0,37.5,40
739479,29.5,19.0,53.0,74
721373,25.5,15.0,47.0,63
809398,15.0,18.0,25.5,45
839515,21.0,18.0,50.0,66
752097,18.5,0.0,25.5,28
817477,32.5,10.0,23.5,44
758519,24.0,18.0,49.5,67
872474,36.0,17.0,71.5,89
876064,34.0,16.0,72.5,87
818368,8.0,16.0,27.0,40
799164,19.0,10.0,35.5,46
702998,22.5,14.0,51.5,64
803277,29.5,15.0,71.5,83
779539,20.5,12.0,51.5,61
877147,16.0,18.0,37.5,54
782734,19.0,18.0,22.0,44
766220,18.5,12.0,22.0,38
754312,29.0,14.0,52.5,68
815253,27.5,15.0,60.0,74
891460,20.0,0.0,37.0,38
852306,21.5,17.0,39.5,57
858618,18.0,17.0,38.5,55
739591,15.5,17.0,32.0,50
866211,18.0,17.0,41.0,57
763363,23.5,17.0,36.0,56
802449,26.5,0.0,36.5,41
856563,16.5,0.0,40.0,38
718921,26.0,15.0,29.5,50
877217,31.0,0.0,47.5,51
711724,18.5,17.0,30.0,50
827890,18.0,17.0,32.5,50
876762,26.0,15.0,57.0,71
789162,25.5,16.0,55.0,70
896456,25.0,0.0,46.5,47
819370,12.0,14.0,47.5,56
873397,23.5,14.0,33.0,51
775975,13.0,19.0,32.0,50
847162,18.5,16.0,25.5,44
896104,21.0,16.0,42.0,58
769741,25.0,18.0,56.5,73
768884,21.0,15.0,30.0,50
713390,25.5,19.0,44.5,65
745091,29.0,16.0,46.0,65
771512,19.5,12.0,13.0,32
820362,11.0,18.0,35.0,50
847322,27.0,19.0,41.5,64
847178,29.5,18.0,51.5,71
767380,24.5,20.0,60.0,77
861249,36.0,18.0,70.0,89
777698,19.5,18.0,52.0,67
887171,19.0,19.0,56.5,71
878710,27.5,18.0,54.0,72
761685,23.5,10.0,32.5,46
834609,20.5,0.0,22.0,27
739134,11.5,0.0,29.5,28
735374,21.0,17.0,32.5,52
843550,17.5,14.0,45.5,57
848486,30.5,17.0,53.0,72
826065,27.5,14.0,46.5,63
753626,27.0,0.0,52.5,53
781430,17.0,13.0,40.5,52
705635,19.5,9.0,52.5,58
722183,28.0,16.0,56.5,72
750525,21.0,16.0,58.5,70

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,
