Stud No,Class test 1,Assign,Exam,Lab,Exam,Final
1162847,25.0,100,63.0,26.0,39.6,72
1209171,27.5,95,48.0,32.0,35.6,68
1161166,20.0,55,57.0,21.0,34.7,56
1191183,27.5,65,52.0,29.0,36.0,63
1288093,24.5,70,61.0,22.0,36.9,63
1232214,36.0,80,73.0,31.0,46.2,80
1211592,14.0,90,47.0,18.0,28.9,54
1202068,36.0,100,74.0,40.0,50.7,89
1240940,12.5,80,39.0,28.0,29.8,52
1118253,33.0,100,46.5,45.0,40.7,77
1150532,28.5,100,49.0,42.0,40.4,75
1288486,17.5,0,39.5,20.0,26.4,35
1177853,28.5,80,34.0,30.0,28.4,60
1248420,34.5,100,79.0,45.0,55.1,92
1167281,33.0,80,81.0,30.0,49.3,82
1256170,15.7,65,30.0,23.0,23.6,44
1138910,24.0,100,74.0,39.0,50.2,82
1235794,12.5,80,46.0,12.0,25.8,48
1173472,24.5,90,64.0,36.0,44.4,75
1257652,18.5,50,17.0,0.0,7.6,27
1258957,27.0,90,45.0,45.0,40.0,72
1254241,22.0,70,49.0,24.0,32.4,57
1225024,28.5,100,67.0,45.0,49.8,84
1131414,18.5,100,41.5,29.0,31.3,61
1171043,30.0,100,61.5,45.0,47.3,82
1239188,27.0,100,42.0,40.0,36.4,70
1184897,34.5,100,79.0,39.0,52.4,90
1291230,39.5,100,74.0,43.0,52.0,92
1111846,30.0,100,62.5,45.0,47.8,83
1127560,35.5,100,81.0,45.0,56.0,94
1254091,17.0,70,37.0,27.0,28.4,51
1126231,19.0,70,45.0,30.0,33.3,57
1256185,24.5,90,35.0,18.0,23.6,54
1194320,12.5,90,29.5,16.0,20.2,44
1178249,34.5,80,73.0,41.0,50.7,84
1177235,34.5,90,73.0,40.0,50.2,85
1269065,0.0,80,21.0,17.0,16.9,33
1213271,23.5,50,46.0,18.0,28.4,50
1214386,31.5,80,72.5,14.0,38.4,70
1159194,22.5,100,55.0,18.0,32.4,64
1262007,38.0,100,79.0,42.0,53.8,93
1202151,18.5,80,46.0,35.0,36.0,61
1261103,17.0,90,40.5,17.0,25.6,52
